idx,r,c,diam_px,ref_px,pds
278,212,159,0.0,15.231546401977539,100.0
262,211,175,10.0,15.81138801574707,36.75444569625309
268,213,169,10.0,15.81138801574707,36.75444569625309
207,177,228,12.806248664855957,21.13261108398438,39.40053783272721
258,208,179,13.416407585144043,15.81138801574707,15.147186551257052
229,196,208,13.601470947265625,21.13261108398438,35.637527767984025
252,206,185,13.601470947265625,16.600590133666998,18.066340837560613
235,200,202,13.928388595581055,21.13261108398438,34.09054596407201
202,173,233,14.21267032623291,21.238974189758302,33.082124435206254
249,205,188,14.317821502685547,17.20465087890625,16.779354634171405
191,165,244,15.620499610900879,21.238974189758302,26.453606167671516
194,167,241,15.620499610900879,21.238974189758302,26.453606167671516
167,159,266,16.970561981201172,20.58777580261231,17.56971643918519
173,155,262,21.095022201538086,21.4825231552124,1.8037963264101786
