idx,r,c,diam_px,ref_px,pds
567,154,25,5.385164737701416,8.321589946746833,35.28682901113957
91,414,375,8.246211051940918,13.152946472167969,37.305218544600095
143,385,327,8.485280990600586,11.432048892974857,25.776376023089455
440,125,152,10.0,39.315447616577174,74.56470521464948
312,217,225,10.630146026611328,11.661903381347656,8.847246715333135
481,145,111,12.529964447021484,39.315447616577174,68.1296660640047
447,126,145,12.649110794067383,39.315447616577174,67.82661381803369
343,189,197,12.727922439575195,12.549760246276858,-1.4196461100460356
455,132,137,12.806248664855957,39.315447616577174,67.42692901148872
477,142,115,13.416407585144043,39.315447616577174,65.87497181114486
