image,overlay_path,per_image_csv,detections_csv,num_detections,first_x,first_y,first_diam_px,first_ref_px,first_%DS,first_diam_mm,first_ref_mm
D:\Work\CV\Project\Data\14.png,D:\Work\CV\Project\Out\14_overlay.png,D:\Work\CV\Project\Out\14.csv,D:\Work\CV\Project\Out\14_detections.csv,2,510,286,2.0,8.0,75.00000003125,0.44,1.76
D:\Work\CV\Project\Data\11.png,D:\Work\CV\Project\Out\11_overlay.png,D:\Work\CV\Project\Out\11.csv,D:\Work\CV\Project\Out\11_detections.csv,3,359,6,2.0,12.0,83.33333334722222,0.44,2.64
