idx,r,c,diam_px,ref_px,pds
10,484,348,6.0,7.211102550927978,16.79497068160024
14,480,347,6.0,7.211102550927978,16.79497068160024
23,471,348,6.0,7.211102550927978,16.79497068160024
579,148,12,6.0,10.0,40.000000060000005
179,349,306,6.324555320336759,11.348528028055348,44.26981808452653
533,159,58,8.0,16.1245154965971,50.38610619508586
552,159,39,8.0,14.422205101855956,44.52998041593863
512,154,79,8.246211251235321,16.1245154965971,48.85916883604031
516,155,75,8.246211251235321,16.1245154965971,48.85916883604031
519,156,72,8.246211251235321,16.1245154965971,48.85916883604031
491,147,100,8.94427190999916,28.725042525944122,68.86245895438782
229,299,280,10.0,12.0,16.666666736111114
276,252,249,10.198039027185569,12.0,15.016341510939979
327,202,211,11.313708498984761,13.416407864998739,15.672595791697152
480,144,111,14.142135623730951,42.09418211071679,66.4035861697599
471,139,120,14.560219778561036,54.01265311375537,73.04294653847083
467,138,124,15.231546211727817,60.032585114269246,74.62786888121167
